Day,Date,Price,Open,High,Low,Change %,Vol.
1,16-08-2024,264.43,260.7,266.2,257.01,1.65%,42.93
2,14-08-2024,260.14,260.3,264.5,255.5,1.19%,41.74
3,13-08-2024,257.08,265,265.4,256,-2.41%,26.13
4,12-08-2024,263.43,263.5,266.49,261.35,-1.37%,33.51
5,09-08-2024,267.09,267.73,272.9,265.55,0.56%,52.6
6,08-08-2024,265.59,265,267.5,260,-0.03%,57.92
7,07-08-2024,265.67,261.53,267.6,251.81,6.66%,127.38
8,06-08-2024,249.08,265.9,275,247.2,-2.81%,143.46
9,05-08-2024,256.29,254,265.55,249,-2.31%,156.11
10,02-08-2024,262.34,244.5,278.7,243,12.07%,389.06
11,01-08-2024,234.09,231,238,228,2.02%,87.89
12,31-07-2024,229.45,227.61,230.14,226.05,1.02%,25.01
13,30-07-2024,227.13,226.95,231.2,225.11,0.11%,39.38
14,29-07-2024,226.89,226.62,229.46,224.1,1.01%,40.64
15,26-07-2024,224.62,219,226.62,216.85,2.42%,35.69
16,25-07-2024,219.31,221,223.97,216.95,-1.87%,26.12
17,24-07-2024,223.49,217.85,225.5,215.6,2.56%,32.36
18,23-07-2024,217.91,222.5,223.72,207,-1.69%,36.59
19,22-07-2024,221.66,214,222.19,214,1.27%,33.7
20,19-07-2024,218.89,217.99,220.49,213.67,-0.78%,39.26
21,18-07-2024,220.62,217.75,221.4,210.25,1.44%,58.54
22,16-07-2024,217.49,230,230.35,215.3,-5.09%,44.68
23,15-07-2024,229.15,225,232,225,3.00%,51.2
24,12-07-2024,222.47,219,223.25,217.05,2.45%,45.58
25,11-07-2024,217.14,211.47,218.95,211.37,2.73%,45.77
26,10-07-2024,211.37,213,213.39,205.74,-0.56%,29.85
27,09-07-2024,212.56,207.8,214,206.61,2.23%,39.31
28,08-07-2024,207.93,208.25,210,206,0.17%,18.26
29,05-07-2024,207.57,207,208.4,204.77,0.06%,29.68
30,04-07-2024,207.44,208.39,210.29,206.7,-0.48%,30
31,03-07-2024,208.44,209.45,213.95,205.33,-0.31%,61.48
32,02-07-2024,209.09,204,209.84,202.25,2.51%,65.7
33,01-07-2024,203.97,199.71,204.5,194.56,1.70%,53.54
34,28-06-2024,200.56,201.3,203.92,199.1,0.20%,37.29
35,27-06-2024,200.15,198.2,201.5,196,1.47%,32.54
36,26-06-2024,197.25,202.56,203.48,196,-2.48%,38.93
37,25-06-2024,202.27,201.75,204.7,200,1.68%,60.67
38,24-06-2024,198.92,193.9,199.8,191.95,2.56%,34.2
39,21-06-2024,193.95,197.9,199.95,193.05,-1.57%,37.84
40,20-06-2024,197.05,199.99,201.8,195,-0.73%,44.4
41,19-06-2024,198.49,190,201,189.56,5.24%,112.27
42,18-06-2024,188.61,187.5,189.1,184.8,1.27%,40.63
43,14-06-2024,186.24,185.7,186.6,184.05,0.70%,29.82
44,13-06-2024,184.94,183.8,185.8,180.15,2.94%,47.89
45,12-06-2024,179.65,184.39,184.88,179.33,-2.37%,42.83
46,11-06-2024,184.02,182.6,186,180.1,1.02%,41.8
47,10-06-2024,182.16,184,186.5,181.56,-1.00%,33.16
48,07-06-2024,184,182.5,187,180.7,0.19%,33.18
49,06-06-2024,183.65,185,185.8,182.5,-0.08%,20.89
50,05-06-2024,183.8,175,185.3,166.75,6.86%,57.21
51,04-06-2024,172,176.5,176.5,146.3,-1.97%,75.27
52,03-06-2024,175.45,184.5,185.5,175,-2.07%,53.44
53,31-05-2024,179.15,178.8,183.15,171.25,-0.80%,149.28
54,30-05-2024,180.6,183,185,179,-1.50%,33.68
55,29-05-2024,183.35,180.55,185.4,180,0.96%,30.89
56,28-05-2024,181.6,184.35,184.8,180.4,-1.12%,34.44
57,27-05-2024,183.65,183.9,185.45,178.4,0.41%,47.65
58,24-05-2024,182.9,188,188,179.1,-2.09%,37.06
59,23-05-2024,186.8,186.5,189.4,184.5,0.70%,20.93
60,22-05-2024,185.5,190,190,183.35,-1.90%,40.37
61,21-05-2024,189.1,194.4,196.5,188.75,-2.78%,33.45
62,18-05-2024,194.5,194.5,194.5,194.5,-0.18%,
63,17-05-2024,194.85,195.15,196,193.1,-0.18%,20.84
64,16-05-2024,195.2,192.9,195.85,189,1.67%,35.48
65,15-05-2024,192,188.8,193.4,183.15,2.51%,44.77
66,14-05-2024,187.3,191.7,193.45,182.1,-3.60%,110.07
67,13-05-2024,194.3,205.8,207.2,186.75,-3.48%,114.14
68,10-05-2024,201.3,196.35,205,189.9,3.10%,52.72
69,09-05-2024,195.25,195,199.7,193.1,-0.10%,47.27
70,08-05-2024,195.45,190.65,196,187.3,2.09%,47.94
71,07-05-2024,191.45,196.15,196.35,182.35,-2.17%,48.16
72,06-05-2024,195.7,199,202,194.5,-0.79%,26.39
73,03-05-2024,197.25,196.8,200.35,193.1,0.92%,37.88
74,02-05-2024,195.45,193.6,195.95,192.75,1.19%,27.39
75,30-04-2024,193.15,195,196.95,192.2,-0.23%,39.38
76,29-04-2024,193.6,189.4,194.3,186.45,2.92%,33.42
77,26-04-2024,188.1,189,190.45,186.35,1.84%,33.78
78,25-04-2024,184.7,184,188.9,182.5,0.16%,38.84
79,24-04-2024,184.4,189,189.1,183.15,-1.63%,32.62
80,23-04-2024,187.45,194.4,194.5,186.6,-3.05%,35.74
81,22-04-2024,193.35,193,197.7,190.8,2.19%,28.79
82,19-04-2024,189.2,182.3,191,181.4,2.16%,34.11
83,18-04-2024,185.2,188.5,189.25,183,-0.67%,35.35
84,16-04-2024,186.45,187,189.3,183.9,-0.98%,43.27
85,15-04-2024,188.3,188,192.4,184.5,-1.98%,48.46
86,12-04-2024,192.1,195.85,199.7,190.5,-2.44%,56.54
87,10-04-2024,196.9,195,199.6,194.05,1.65%,35.14
88,09-04-2024,193.7,192.55,195.5,188.75,0.99%,30.82
89,08-04-2024,191.8,191.6,194,190.55,0.68%,23.09
90,05-04-2024,190.5,188.25,191.8,187.25,1.87%,35.24
91,04-04-2024,187,180.5,188.15,180.25,4.88%,52.77
92,03-04-2024,178.3,181.95,182,177.85,-2.62%,24.27
93,02-04-2024,183.1,185,185,180.75,-0.76%,36.35
94,01-04-2024,184.5,183.9,188.2,182.75,1.32%,20.79
95,28-03-2024,182.1,179.8,184.7,176,1.48%,42.57
96,27-03-2024,179.45,183.6,189,177.2,-1.73%,50.53
97,26-03-2024,182.6,173.4,183.65,172.2,4.82%,64.59
98,22-03-2024,174.2,170.45,174.9,169.05,2.68%,41.78
99,21-03-2024,169.65,168,171,166.4,2.45%,42.23
100,20-03-2024,165.6,159.45,166.7,159,4.84%,45.54
101,19-03-2024,157.95,158.6,161.45,156.5,-0.19%,24.85
102,18-03-2024,158.25,162.5,164.45,157.25,-1.12%,35.38
103,15-03-2024,160.05,152.85,161.7,152.45,4.78%,95.09
104,14-03-2024,152.75,147.1,157.3,144.3,2.76%,45.71
105,13-03-2024,148.65,157.45,158.25,147.5,-5.26%,53.2
106,12-03-2024,156.9,156.6,157.9,152.15,1.32%,31.16
107,11-03-2024,154.85,161,163.2,149,-3.22%,51.52
108,07-03-2024,160,161.75,163.45,158.65,-0.96%,43.69
109,06-03-2024,161.55,164.4,164.4,157.5,-2.59%,95.62
110,05-03-2024,165.85,170.75,171.5,164.05,-2.33%,29.31
111,04-03-2024,169.8,168,175.6,168,1.28%,55.75
112,02-03-2024,167.65,167.55,168.3,165.3,0.69%,3.03
113,01-03-2024,166.5,168,173.5,165.6,0.63%,42.59
114,29-02-2024,165.45,156.45,168.85,155.45,3.83%,175.79
115,28-02-2024,159.35,161.9,161.95,155.35,-1.21%,41.88
116,27-02-2024,161.3,163.75,163.85,158,-1.77%,29.92
117,26-02-2024,164.2,165.2,168.5,163.15,0.09%,33.43
118,23-02-2024,164.05,162.4,164.8,160.8,1.20%,37.2
119,22-02-2024,162.1,159.55,163,156.6,2.17%,67.61
120,21-02-2024,158.65,162.3,167.8,157.6,-1.49%,91.14
121,20-02-2024,161.05,159.7,163.8,158.7,2.25%,85.36
122,19-02-2024,157.5,157.45,160.45,155.6,0.51%,60.22
123,16-02-2024,156.7,156.9,160,155.35,1.19%,61.21
124,15-02-2024,154.85,157,159.2,154,1.71%,77.37
125,14-02-2024,152.25,152.95,153.75,150.1,-1.62%,38.22
126,13-02-2024,154.75,154.35,157.9,149,0.62%,79.94
