name,positive,negative,neutral
1947,34,4,2
#L-81 Cafe,20,0,0
1000 B.C,4,4,0
100ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â°C,14,6,0
11 to 11 Express Biriyanis,6,14,2
1131 Bar + Kitchen,19,1,0
12th Main - Grand Mercure,8,2,0
1441 Pizzeria,16,2,2
154 Breakfast Club,15,4,1
1722 Urban Bistro,17,3,0
1980s Games Cafe,2,1,0
1Q1,57,3,0
20 Char - Sterlings MAC Hotel,12,0,4
20 Feet High,54,5,5
24 Carats - The Capitol,48,20,12
24 Hours Cake Delivery,0,2,0
24 Hours Coffee Drop - La Classic,6,0,0
24/7 Food Service,0,6,0
24@43 - The Oterra,6,0,0
24th Main,10,2,0
2nd Home Restaurant,39,0,0
30 Square,29,8,3
360 Atoms Restaurant And Cafe,4,0,0
36th Cross Coffee Mane,5,0,0
"3B's - Buddies, Bar & Barbecues",56,25,1
3rd Innings,12,6,0
4 Mangoes,1,0,0
4Foodiez,2,0,0
4Foodiez - The Restaurant,22,10,0
4K Biryani,0,0,0
4th Tea Block,8,0,0
52 Wall Street,48,12,0
55 Wall Street,36,4,0
56 Bhoga Sweets,13,6,1
5th Main Cafe,40,4,4
7 Days Restaurant,2,0,0
7 Degrees North,16,2,0
7 Hills Andhra Mess,3,1,0
7 Plates,28,2,6
7 Shanghai,10,8,0
7 to 11 Food Court,5,3,0
70 Brigade - Iris Hotel,4,0,0
8 Slice,2,0,0
90's Beer Cafe - Hotel Millennium Plaza,0,3,0
99 Caffe,4,0,0
99 Pancakes,77,3,0
99 Variety Dosa and Pav Bhaji,3,0,0
9D Foods,13,1,1
9th Cross Cafe,8,0,0
@ Biryani Central,4,2,0
@Italy,32,6,2
A 1 Pizza and Food,0,2,0
A Bar,20,8,0
A Hole Lotta Love Cafe,20,0,0
A Southern Fair,6,0,4
A Today Thick Shakes,8,4,2
A.M New Punjab Food Corner,18,12,3
A2B - Adyar Ananda Bhavan,57,21,9
A3 Nuwang Kitchen,1,0,0
ABC Grand,36,4,0
AKS Family Dhaba And Restaurant,2,0,0
AKSHAYA BIRYANI,6,0,0
AM WOW,0,2,4
AM's Cafe Recreate,6,0,0
AQNI,3,3,0
ASEAN - On The Edge,25,5,0
Aadhya Hotel,0,0,0
Aadvik Nightfood,1,0,0
Aagaman Veg,40,5,0
Aaha,0,2,0
Aaha Andhra,19,0,6
Aahar Vihar,4,0,0
Aaharam,16,3,1
Aalishan Restaurant & Caterer,6,0,3
Aami Bangali,14,15,3
Aao G Khao G,2,0,0
Aaranya Restaurant,9,10,1
Aarya Pork Hotel,1,0,0
Aashirvaad Restaurant,1,0,0
Aashish Foods,2,2,0
Aasife & Brothers Biriyani Centre,20,4,0
Aathithya,10,0,0
Aathurar,4,0,0
Abbabi Chicken,1,0,0
Abhiruchi,1,0,0
Abhiruchi Andhra Mess,1,0,0
Abhiruchi Hotel,15,14,0
Abhiruchi Moonlight,0,0,0
Abhiruchi Restaurant,0,0,0
Achayyan's,6,0,0
Adarsh Bakery,2,4,0
Adi's Cake N Cafe,2,2,0
Adithya,8,2,0
